No.	正式名称（運営会社）	一般的な呼び方（サービス名）	公式URL	サービス内容	提供形態	対象エリア	対象事業者
1	株式会社ビートレーディング	ビートレーディング	https://betrading.jp/	売掛債権の買取による早期資金化。累計取扱高1,670億円超、取引社数8万社超の業界最大手。手数料2社間4%～、3社間2%～。最短2時間入金。必要書類2点のみ。	2社間・3社間ファクタリング、オンライン完結対応	全国対応（東京・仙台・名古屋・大阪・福岡に拠点）	法人・個人事業主（全業種）
2	一般社団法人日本中小企業金融サポート機構	日本中小企業金融サポート機構	https://chushokigyo-support.or.jp/	経営革新等支援機関認定の非営利法人によるファクタリング。手数料1.5%～。オンラインサービス「FACTOR⁺U」で最短40分入金。買取額の上限・下限なし。	2社間・3社間ファクタリング、オンライン完結対応	全国対応（東京都港区に本社）	法人・個人事業主（全業種）
3	OLTA株式会社	OLTA（オルタ）	https://www.olta.co.jp/	日本初のオンライン完結型クラウドファクタリング。AI審査で24時間365日申込可能。手数料2～9%。請求書の一部買取にも対応。MUFGアクセラレータ採択企業。	2社間ファクタリング、オンライン完結	全国対応（東京都港区に本社）	法人・個人事業主（全業種）
4	ピーエムジー株式会社	PMG（ピーエムジー）	https://p-m-g.tokyo/	独立系ファクタリング会社で売上No.1。累計買取額2,226億円、契約総数51,999件。30秒簡単審査システムで大口債権にも対応。買取額50万円～2億円、手数料2%～11.5%。	2社間・3社間ファクタリング、対面・オンライン	全国対応（東京本社、大阪・福岡など全国9拠点）	法人・個人事業主（中小企業中心）
5	株式会社アクセルファクター	アクセルファクター	https://accelfacter.co.jp/	ネクステージグループ傘下の経営革新等支援機関認定企業。手数料0.5%～。審査通過率93.3%。最短即日2時間入金。赤字・滞納企業の売掛債権にも対応。	2社間・3社間ファクタリング、オンライン完結対応	全国対応（東京本社、仙台・名古屋に営業所）	法人・個人事業主（全業種）
6	ペイトナー株式会社	ペイトナー（旧ペイトナーファクタリング）	https://paytner.co.jp/	フリーランス・個人事業主特化のAIファクタリング。手数料一律10%。最短10分入金。買取額1万円～300万円（初回30万円まで）。累計申込数30万件超。土日入金対応。	2社間ファクタリング、オンライン完結	全国対応（東京都港区に本社）	フリーランス・個人事業主
7	株式会社アクティブサポート	QuQuMo（ククモ）	https://ququmo.net/	弁護士ドットコム監修、クラウドサイン契約。最短2時間入金。手数料1%～14.8%。必要書類は請求書と預金通帳のみ。完全オンライン完結。	2社間ファクタリング、オンライン完結	全国対応（東京都豊島区に本社）	法人・個人事業主（全業種）
8	株式会社アレシア	ベストファクター（Best Factor）	https://bestfactor.jp/	平均買取率92.2%。手数料2%～。即日振込対応。30秒簡易診断シミュレーター（特許技術）。必要書類は通帳・請求書・身分証の3点のみ。年間相談件数10,000件超。	2社間・3社間ファクタリング、対面・オンライン	全国対応（東京都新宿区に本社）	法人・個人事業主（全業種）
9	マネーフォワードケッサイ株式会社	マネーフォワード アーリーペイメント	https://mfkessai.co.jp/ep/top	上場企業マネーフォワード100%出資子会社による法人向けファクタリング。数億円規模の高額債権に対応。売掛債権の早期資金化サービス。累計取扱高1兆円突破（マネーフォワードケッサイ全体）。	2社間ファクタリング、オンライン完結	全国対応（東京都港区に本社）	法人（中堅～大企業中心）
10	GMOペイメントゲートウェイ株式会社	GMO BtoB早払い	https://www.gmo-pg.com/lpc/hayabarai/	東証プライム上場のGMOグループが運営。BtoB取引の売掛債権を買取。手数料1%～12%。注文書買取にも対応。大手上場企業の安心感。	2社間ファクタリング、オンライン対応	全国対応（東京都渋谷区に本社）	法人（BtoB取引のある企業）
11	株式会社ラボル	labol（ラボル）	https://labol.co.jp/	東証プライム上場セレス社の100%子会社。フリーランス・個人事業主向けAIファクタリング。手数料一律10%。最短30分入金。土日祝日も審査・入金対応。	2社間ファクタリング、オンライン完結	全国対応（東京都渋谷区に本社）	フリーランス・個人事業主
12	GMOクリエイターズネットワーク株式会社（現: フリー株式会社に移管）	FREENANCE（フリーナンス）即日払い	https://freenance.net/	GMOグループ発のフリーランス特化型金融支援サービス（現在はfreeeに移管）。手数料3%～10%。最短即日入金。買取額1万円～。損害補償付き。	2社間ファクタリング、オンライン完結	全国対応	フリーランス・個人事業主
13	株式会社No.1	No.1（ナンバーワン）	https://no1service.co.jp/	ファクタリングに加え経営支援コンサルティングも提供。審査通過率90%以上。最短即日入金。手数料1%～15%。乗り換え実績No.1を謳う。	2社間・3社間ファクタリング、対面・オンライン	全国対応（東京本社、名古屋・福岡に拠点）	法人・個人事業主（全業種）
14	株式会社トップ・マネジメント	トップ・マネジメント	https://top-management.co.jp/	創業15年超の老舗ファクタリング会社。累計買取高100億円・件数55,000件超。手数料3社間0.5%～3.5%（業界最安水準）。最大3億円まで対応。	2社間・3社間ファクタリング、対面・オンライン	全国対応（東京都千代田区に本社）	法人・個人事業主（全業種）
15	株式会社Mentor Capital	メンターキャピタル（Mentor Capital）	https://mentor-capital.jp/	2009年設立の老舗ファクタリング会社。最短30分入金の実績。法人・個人事業主向け。業界内で10年以上の運営歴。	2社間・3社間ファクタリング、対面・オンライン	全国対応（東京都新宿区に本社）	法人・個人事業主（全業種）
