分類	No.	カテゴリ	口コミ本文	出典サイト	出典URL
ポジティブ	1	住宅性能	耐震性能は申し分ないし、夏はすぐ冷え、冬はどこも暖かいのが最高。家の快適度が高いので他の家やホテルに泊まると違いが分かりすぎる。（30代／女性）	オリコン顧客満足度	https://life.oricon.co.jp/rank-house-maker/company/ichijo/
ポジティブ	2	住宅性能	気密性、断熱性に優れ、生活のクオリティが格段に上がった。	オリコン顧客満足度	https://life.oricon.co.jp/rank-house-maker/company/ichijo/
ポジティブ	3	住宅性能	住み心地良いです。冬は特に良いですね。夏は1日エアコンだが28度設定で全然涼しいです。太陽光パネルもつけており、電気代は抑えられています。	みん評	https://minhyo.jp/ichijokoumuten
ポジティブ	4	床暖房	全館床暖房は、本当に快適です。冬に床暖房以外の暖房をつけたことがなく、裸足でも快適。	みん評	https://minhyo.jp/ichijokoumuten
ポジティブ	5	床暖房	全室床冷暖房で快適に過ごせる。特に冬は暖房は床暖房だけで過ごせてるのでエアコンやストーブやヒーターなど使ったことは無い。	わたしの家づくり	https://watashino-iedukuri.com/report/reviews/
ポジティブ	6	床暖房	全館床暖房のある暮らしは快適そのもの。お風呂場や脱衣所にも床下冷暖房が入るため、ヒートショックの予防策にもなり高齢者にも安心。	チューモンズー	https://howto-custom-home.jp/2019/09/07/ichijo-hyoban/
ポジティブ	7	さらぽか	外気温が38度に近い日でも床冷房23〜24度＋サーキュレーターがあれば快適に過ごせた。もしもう一度一条工務店で建てる機会があっても、さらぽかは絶対導入する。	チューモンズー	https://howto-custom-home.jp/2022/07/19/sarapoka/
ポジティブ	8	さらぽか	湿気の多い梅雨時期でも湿度40%を保てる。部屋干しでも6時間もあれば乾くためワーキングマザーの家事時短にもなる。	チューモンズー	https://howto-custom-home.jp/2022/07/19/sarapoka/
ポジティブ	9	さらぽか	猛暑日でも日中LDKではエアコンをつけずに過ごせており、就寝する部屋にエアコンが1台あれば快適に過ごせる。	よつはちブログ	https://yotsuhachiblog.com/sarapoka-2/
ポジティブ	10	光熱費	実際に住んでみて、光熱費はアパート時代（プロパンガス）よりも安く、オール電化で水道代合わせても月7千円安くなった。	わたしの家づくり	https://watashino-iedukuri.com/report/reviews/
ポジティブ	11	光熱費	2024年の年間電気代は45,000円、売電収入は183,000円で、差額利益は138,000円。	一条スタイル	https://www.ichijo-style.com/ichijo-floorheating-costs/
ポジティブ	12	光熱費	さらぽかや全館床暖房のおかげで、平均して約12,000円/月ほどの電気代で快適な暮らしができている。太陽光発電は一条工務店の想定を約15%上回る実績。	ほべほべすっぺ	https://hobe2suppe.com/electricity-bills-2020-2021/
ポジティブ	13	光熱費	物価高・電気代高騰の中で、一条を選んで家計が助けられている。アパートの家賃とほとんど変わらないコストで、快適さは圧勝。	おうちスタイルナビ	https://tenmaruco.xsrv.jp/ichijyo-kounetsuhi
ポジティブ	14	光熱費	春と秋を除いては、とても快適な暮らしが出来ており、電気代がご近所さんと比べてもかなり安い。（40代／愛知県／アイ・スマート）	わたしの家づくり	https://watashino-iedukuri.com/report/reviews/
ポジティブ	15	営業対応	営業の方は何を聞いてもうてば響く感じで性能なども含めて、即決でした。金額的にも少々高めかもしれないがそれ以上の価値はある。	みん評	https://minhyo.jp/ichijokoumuten
ポジティブ	16	営業対応	営業さんは本当にお仕事のできる方です。仕事が早く、丁寧で、わたしたちの言葉の意図を汲んでくれたり、気持ちを受け止めてくれたり。	みん評	https://minhyo.jp/ichijokoumuten
ポジティブ	17	営業対応	一条工務店の担当の方は、ガツガツせずにこちらのペースに合わせて対応してくれました。	マイナビニュース	https://news.mynavi.jp/real-estate-assessment/44360
ポジティブ	18	営業対応	一条工務店は存在を忘れてしまうくらい、営業をかけてこなかった。しつこくないのが好印象。	リアマネ	https://fantas-tech.co.jp/media/ichijo/
ポジティブ	19	営業対応	レスポンス、日時決めの早さも神+人柄抜群な営業さん。千葉エリアで検討中の方に紹介できる。	X（旧Twitter）	https://x.com/riri_myhome
ポジティブ	20	展示場	住宅展示場で多くのメーカーを訪問した中で、一条工務店の説明は常に実際モデルの数値を元に説明してくれた。	マイナビニュース	https://news.mynavi.jp/real-estate-assessment/44360
ポジティブ	21	展示場	モデルハウスはほぼ「標準仕様」で建てられており、見学時と実際に建てるイメージのギャップがないのが特徴。	わたしの家づくり	https://watashino-iedukuri.com/report/reviews/
